time,q_x,q_z,q_pitch,q_lh,q_lk,q_rh,q_rk,v_x,v_z,v_pitch,v_lh,v_lk,v_rh,v_rk,tau_lh,tau_lk,tau_rh,tau_rk
0.0010,0.000000,0.464990,-0.000000,1.047200,-1.570800,0.523599,-1.570800,0.000000,-0.009810,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.0110,-0.000000,0.464353,-0.000000,1.047200,-1.570800,0.523599,-1.570800,-0.000000,-0.107910,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.0210,-0.000000,0.462734,-0.000000,1.047200,-1.570800,0.523599,-1.570800,-0.000000,-0.206010,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.0310,-0.000000,0.460134,-0.000000,1.047200,-1.570800,0.523599,-1.570800,-0.000000,-0.304110,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.0410,-0.000000,0.456554,-0.000000,1.047200,-1.570800,0.523599,-1.570800,0.000000,-0.402210,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.0510,0.000008,0.451983,0.000020,1.061088,-1.591561,0.532709,-1.592540,0.000903,-0.499980,0.024650,2.049737,-3.100932,1.329268,-3.235427,0.000000,0.000000,0.000000,0.000000
0.0610,0.000012,0.446475,0.000697,1.082820,-1.625113,0.546342,-1.627379,-0.000071,-0.592266,0.104272,2.275929,-3.566579,1.388913,-3.689905,0.000000,0.000000,0.000000,0.000000
0.0710,0.000005,0.440047,0.002220,1.106834,-1.663369,0.560451,-1.666786,-0.001277,-0.683980,0.192982,2.503037,-4.036012,1.424081,-4.143664,0.000000,0.000000,0.000000,0.000000
0.0810,-0.000016,0.432706,0.004680,1.133067,-1.706239,0.574720,-1.710624,-0.002738,-0.775160,0.290636,2.719785,-4.489176,1.423376,-4.576492,0.000000,0.000000,0.000000,0.000000
0.0910,-0.000053,0.424455,0.008163,1.161400,-1.753517,0.588759,-1.758642,-0.004463,-0.865868,0.396656,2.924490,-4.919380,1.381475,-4.981726,0.000000,0.000000,0.000000,0.000000
0.1010,-0.000108,0.415299,0.012749,1.191723,-1.804962,0.602135,-1.810552,-0.006457,-0.956170,0.510356,3.119353,-5.325006,1.294532,-5.357796,0.000000,0.000000,0.000000,0.000000
0.1110,-0.000185,0.405243,0.018510,1.223960,-1.860330,0.614374,-1.866062,-0.008725,-1.046116,0.631058,3.308509,-5.706449,1.158332,-5.704919,0.000000,0.000000,0.000000,0.000000
0.1210,-0.000286,0.394288,0.025513,1.258083,-1.919383,0.624940,-1.924744,-0.011276,-1.135772,0.758139,3.497565,-6.065070,0.973485,-6.040960,0.000000,0.000000,0.000000,0.000000
0.1310,-0.000414,0.382439,0.033822,1.294125,-1.981904,0.633308,-1.986708,-0.014114,-1.225074,0.891107,3.693023,-6.401950,0.715469,-6.321215,0.000000,0.000000,0.000000,0.000000
0.1410,-0.000572,0.369699,0.043489,1.332199,-2.047682,0.638716,-2.051368,-0.017257,-1.314070,1.029378,3.903939,-6.718909,0.386117,-6.580936,0.000000,0.000000,0.000000,0.000000
0.1510,-0.000763,0.356070,0.054567,1.372516,-2.116527,0.640358,-2.118487,-0.020727,-1.402701,1.172674,4.141321,-7.017268,-0.032461,-6.814835,0.000000,0.000000,0.000000,0.000000
0.1610,-0.000991,0.341558,0.067105,1.415420,-2.188258,0.637215,-2.187785,-0.024560,-1.490856,1.320912,4.419762,-7.298060,-0.563991,-7.019188,0.000000,0.000000,0.000000,0.000000
0.1710,-0.001260,0.326167,0.081153,1.461424,-2.262704,0.627983,-2.258944,-0.028815,-1.578339,1.474423,4.759072,-7.561853,-1.242184,-7.189312,0.000000,0.000000,0.000000,0.000000
0.1810,0.001731,0.315056,0.047379,1.570501,-2.301462,0.709040,-2.332544,0.463542,-0.883814,-5.678586,13.683880,-1.837545,12.028935,-6.175806,0.000000,0.000000,0.000000,0.000000
0.1910,0.006308,0.305772,-0.005897,1.704744,-2.320262,0.823283,-2.387036,0.452805,-0.965937,-5.043707,13.143924,-1.871010,11.590272,-6.642078,0.000000,0.000000,0.000000,0.000000
0.2010,0.010764,0.295652,-0.052788,1.832704,-2.339055,0.929619,-2.449161,0.439781,-1.049819,-4.407378,12.562323,-1.908023,9.905954,-6.025680,0.000000,0.000000,0.000000,0.000000
0.2110,0.015201,0.284806,-0.095536,1.957993,-2.357065,1.034003,-2.507943,0.440809,-1.118996,-4.054707,12.399144,-1.802460,10.108176,-5.844024,0.000000,0.000000,0.000000,0.000000
0.2210,0.019569,0.273184,-0.133471,2.080646,-2.375122,1.132039,-2.568874,0.438599,-1.192943,-3.675939,12.291734,-1.749568,10.314423,-6.635027,0.000000,0.000000,0.000000,0.000000
