time,q_x,q_z,q_pitch,q_lh,q_lk,q_rh,q_rk,v_x,v_z,v_pitch,v_lh,v_lk,v_rh,v_rk,tau_lh,tau_lk,tau_rh,tau_rk
0.0010,0.000000,0.464990,-0.000000,1.047200,-1.570800,0.523599,-1.570800,0.000000,-0.009810,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.0110,-0.000000,0.464353,-0.000000,1.047200,-1.570800,0.523599,-1.570800,-0.000000,-0.107910,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.0210,-0.000000,0.462734,-0.000000,1.047200,-1.570800,0.523599,-1.570800,-0.000000,-0.206010,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.0310,-0.000000,0.460134,-0.000000,1.047200,-1.570800,0.523599,-1.570800,-0.000000,-0.304110,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.0410,-0.000000,0.456554,-0.000000,1.047200,-1.570800,0.523599,-1.570800,0.000000,-0.402210,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.0510,0.000006,0.452353,0.000030,1.059413,-1.589048,0.531582,-1.589952,0.000488,-0.394739,0.025020,1.602731,-2.431698,1.031775,-2.540483,-3.676776,10.660959,3.707775,12.138806
0.0610,0.000005,0.448826,0.000570,1.073218,-1.610590,0.540154,-1.612301,-0.000589,-0.319616,0.073717,1.212389,-1.940942,0.727728,-2.001565,-3.528375,10.250656,3.609529,11.747738
0.0710,-0.000005,0.446002,0.001465,1.083573,-1.627673,0.546122,-1.629802,-0.001305,-0.253308,0.099612,0.900930,-1.528063,0.499193,-1.556299,-3.381668,9.843936,3.502105,11.327307
0.0810,-0.000021,0.443795,0.002525,1.091156,-1.640968,0.550124,-1.643252,-0.001750,-0.195235,0.109065,0.649664,-1.175096,0.326405,-1.181695,-3.239546,9.447271,3.388397,10.893870
0.0910,-0.000040,0.442126,0.003611,1.096501,-1.651016,0.552642,-1.653284,-0.001991,-0.144819,0.106919,0.446901,-0.872533,0.196370,-0.865191,-3.104243,9.065924,3.271301,10.460335
0.1010,-0.000060,0.440922,0.004631,1.100045,-1.658286,0.554049,-1.660431,-0.002081,-0.101474,0.096926,0.284116,-0.614069,0.099555,-0.598392,-2.977337,8.703929,3.153511,10.036786
0.1110,-0.000081,0.440115,0.005521,1.102148,-1.663190,0.554635,-1.665152,-0.002061,-0.064611,0.081994,0.154549,-0.394792,0.028588,-0.374849,-2.859840,8.364203,3.037406,9.630881
0.1210,-0.000101,0.439644,0.006245,1.103113,-1.666097,0.554626,-1.667850,-0.001963,-0.033643,0.064352,0.052618,-0.210511,-0.022345,-0.189201,-2.752298,8.048699,2.924989,9.248197
0.1310,-0.000120,0.439452,0.006786,1.103187,-1.667336,0.554197,-1.668878,-0.001813,-0.007995,0.045684,-0.026372,-0.057477,-0.057862,-0.036794,-2.654887,7.758548,2.817862,8.892536
0.1410,-0.000137,0.439491,0.007141,1.102579,-1.667201,0.553479,-1.668546,-0.001631,0.012891,0.027223,-0.086390,0.067738,-0.081623,0.086494,-2.567500,7.494197,2.717234,8.566224
0.1510,-0.000152,0.439715,0.007317,1.101459,-1.665951,0.552574,-1.667123,-0.001431,0.029551,0.009847,-0.130803,0.168294,-0.096517,0.184355,-2.489819,7.255532,2.623953,8.270381
0.1610,-0.000166,0.440084,0.007327,1.099968,-1.663818,0.551559,-1.664846,-0.001227,0.042493,-0.005858,-0.162456,0.247119,-0.104813,0.260111,-2.421375,7.041990,2.538539,8.005163
0.1710,-0.000177,0.440565,0.007192,1.098218,-1.661003,0.550488,-1.661918,-0.001025,0.052192,-0.019530,-0.183756,0.306924,-0.108277,0.316765,-2.361596,6.852651,2.461239,7.769976
0.1810,-0.000186,0.441127,0.006931,1.096303,-1.657683,0.549403,-1.658517,-0.000832,0.059095,-0.030988,-0.196727,0.350214,-0.108278,0.357026,-2.309850,6.686327,2.392070,7.563660
0.1910,-0.000193,0.441745,0.006569,1.094296,-1.654010,0.548332,-1.654791,-0.000652,0.063609,-0.040183,-0.203069,0.379296,-0.105866,0.383338,-2.265470,6.541636,2.330864,7.384651
0.2010,-0.000199,0.442396,0.006127,1.092256,-1.650115,0.547295,-1.650869,-0.000489,0.066109,-0.047171,-0.204202,0.396285,-0.101842,0.397901,-2.227780,6.417065,2.277316,7.231109
0.2110,-0.000203,0.443063,0.005627,1.090227,-1.646107,0.546303,-1.646856,-0.000342,0.066935,-0.052075,-0.201309,0.403110,-0.096808,0.402690,-2.196114,6.311021,2.231013,7.101025
0.2210,-0.000206,0.443730,0.005088,1.088244,-1.642078,0.545366,-1.642841,-0.000214,0.066390,-0.055074,-0.195372,0.401520,-0.091213,0.399467,-2.169825,6.221882,2.191477,6.992308
0.2310,-0.000207,0.444386,0.004529,1.086334,-1.638104,0.544485,-1.638895,-0.000103,0.064747,-0.056372,-0.187200,0.393088,-0.085384,0.389798,-2.148298,6.148028,2.158182,6.902852
0.2410,-0.000208,0.445020,0.003965,1.084514,-1.634246,0.543664,-1.635074,-0.000010,0.062244,-0.056193,-0.177454,0.379220,-0.079557,0.375067,-2.130955,6.087874,2.130579,6.830587
0.2510,-0.000207,0.445626,0.003410,1.082798,-1.630550,0.542899,-1.631423,0.000067,0.059091,-0.054765,-0.166675,0.361160,-0.073897,0.356484,-2.117255,6.039891,2.108118,6.773521
0.2610,-0.000206,0.446197,0.002875,1.081194,-1.627052,0.542190,-1.627974,0.000129,0.055469,-0.052312,-0.155297,0.340002,-0.068512,0.335104,-2.106703,6.002624,2.090253,6.729761
0.2710,-0.000205,0.446730,0.002369,1.079705,-1.623779,0.541533,-1.624750,0.000176,0.051533,-0.049047,-0.143666,0.316693,-0.063470,0.311831,-2.098844,5.974705,2.076459,6.697537
0.2810,-0.000203,0.447223,0.001900,1.078332,-1.620747,0.540925,-1.621765,0.000212,0.047415,-0.045171,-0.132055,0.292049,-0.058808,0.287437,-2.093269,5.954860,2.066235,6.675209
