t,angle_deg
0,30
0.001,30.0005
0.002,30.0021
0.003,30.0048
0.004,30.0086
0.005,30.0134
0.006,30.0193
0.007,30.0262
0.008,30.0343
0.009,30.0434
0.01,30.0535
0.011,30.0648
0.012,30.0771
0.013,30.0905
0.014,30.105
0.015,30.1205
0.016,30.1371
0.017,30.1548
0.018,30.1736
0.019,30.1934
0.02,30.2143
0.021,30.2363
0.022,30.2594
0.023,30.2835
0.024,30.3087
0.025,30.335
0.026,30.3624
0.027,30.3909
0.028,30.4204
0.029,30.451
0.03,30.4827
0.031,30.5155
0.032,30.5494
0.033,30.5843
0.034,30.6204
0.035,30.6575
0.036,30.6957
0.037,30.735
0.038,30.7754
0.039,30.8169
0.04,30.8595
0.041,30.9031
0.042,30.9479
0.043,30.9938
0.044,31.0407
0.045,31.0888
0.046,31.1379
0.047,31.1882
0.048,31.2395
0.049,31.292
0.05,31.3455
0.051,31.4002
0.052,31.456
0.053,31.5128
0.054,31.5708
0.055,31.6299
0.056,31.6901
0.057,31.7515
0.058,31.8139
0.059,31.8775
0.06,31.9421
0.061,32.0079
0.062,32.0748
0.063,32.1429
0.064,32.212
0.065,32.2823
0.066,32.3538
0.067,32.4263
0.068,32.5
0.069,32.5748
0.07,32.6508
0.071,32.7279
0.072,32.8061
0.073,32.8855
0.074,32.966
0.075,33.0476
0.076,33.1304
0.077,33.2144
0.078,33.2995
0.079,33.3857
0.08,33.4732
0.081,33.5617
0.082,33.6515
0.083,33.7424
0.084,33.8344
0.085,33.9276
0.086,34.022
0.087,34.1176
0.088,34.2143
0.089,34.3122
0.09,34.4113
0.091,34.5116
0.092,34.613
0.093,34.7156
0.094,34.8194
0.095,34.9244
0.096,35.0306
0.097,35.138
0.098,35.2466
0.099,35.3564
0.1,35.4674
0.101,35.5795
0.102,35.6929
0.103,35.8075
0.104,35.9233
0.105,36.0404
0.106,36.1586
0.107,36.278
0.108,36.3987
0.109,36.5206
0.11,36.6437
0.111,36.7681
0.112,36.8937
0.113,37.0205
0.114,37.1486
0.115,37.2778
0.116,37.4084
0.117,37.5402
0.118,37.6732
0.119,37.8075
0.12,37.943
0.121,38.0798
0.122,38.2178
0.123,38.3572
0.124,38.4977
0.125,38.6396
0.126,38.7827
0.127,38.9271
0.128,39.0727
0.129,39.2197
0.13,39.3679
0.131,39.5174
0.132,39.6682
0.133,39.8203
0.134,39.9737
0.135,40.1283
0.136,40.2843
0.137,40.4416
0.138,40.6002
0.139,40.7601
0.14,40.9213
0.141,41.0838
0.142,41.2476
0.143,41.4128
0.144,41.5792
0.145,41.7471
