t,x
0,0
0.001,4.04557e-07
0.002,1.61823e-06
0.003,3.641e-06
0.004,6.47287e-06
0.005,1.01138e-05
0.006,1.45638e-05
0.007,1.98228e-05
0.008,2.58908e-05
0.009,3.27678e-05
0.01,4.04537e-05
0.011,4.89484e-05
0.012,5.82519e-05
0.013,6.83642e-05
0.014,7.92852e-05
0.015,9.10148e-05
0.016,0.000103553
0.017,0.000116899
0.018,0.000131054
0.019,0.000146018
0.02,0.000161789
0.021,0.000178368
0.022,0.000195756
0.023,0.000213951
0.024,0.000232954
0.025,0.000252764
0.026,0.000273382
0.027,0.000294807
0.028,0.000317039
0.029,0.000340078
0.03,0.000363924
0.031,0.000388577
0.032,0.000414035
0.033,0.0004403
0.034,0.000467371
0.035,0.000495248
0.036,0.00052393
0.037,0.000553417
0.038,0.00058371
0.039,0.000614807
0.04,0.000646708
0.041,0.000679414
0.042,0.000712924
0.043,0.000747237
0.044,0.000782353
0.045,0.000818272
0.046,0.000854994
0.047,0.000892517
0.048,0.000930843
0.049,0.00096997
0.05,0.0010099
0.051,0.00105063
0.052,0.00109215
0.053,0.00113448
0.054,0.00117761
0.055,0.00122153
0.056,0.00126626
0.057,0.00131178
0.058,0.0013581
0.059,0.00140521
0.06,0.00145312
0.061,0.00150183
0.062,0.00155133
0.063,0.00160162
0.064,0.00165271
0.065,0.00170459
0.066,0.00175726
0.067,0.00181072
0.068,0.00186498
0.069,0.00192002
0.07,0.00197585
0.071,0.00203247
0.072,0.00208987
0.073,0.00214806
0.074,0.00220704
0.075,0.0022668
0.076,0.00232734
0.077,0.00238866
0.078,0.00245077
0.079,0.00251365
0.08,0.00257732
0.081,0.00264176
0.082,0.00270697
0.083,0.00277296
0.084,0.00283973
0.085,0.00290727
0.086,0.00297557
0.087,0.00304465
0.088,0.0031145
0.089,0.00318511
0.09,0.00325649
0.091,0.00332863
0.092,0.00340153
0.093,0.00347519
0.094,0.00354961
0.095,0.00362479
0.096,0.00370072
0.097,0.0037774
0.098,0.00385484
0.099,0.00393302
0.1,0.00401196
0.101,0.00409163
0.102,0.00417205
0.103,0.00425321
0.104,0.00433511
0.105,0.00441775
0.106,0.00450112
0.107,0.00458522
0.108,0.00467005
0.109,0.0047556
0.11,0.00484188
0.111,0.00492888
0.112,0.0050166
0.113,0.00510503
0.114,0.00519418
0.115,0.00528404
0.116,0.0053746
0.117,0.00546587
0.118,0.00555784
0.119,0.00565051
0.12,0.00574387
0.121,0.00583792
0.122,0.00593266
0.123,0.00602808
0.124,0.00612418
0.125,0.00622096
0.126,0.00631841
0.127,0.00641653
0.128,0.00651532
0.129,0.00661476
0.13,0.00671487
0.131,0.00681562
0.132,0.00691703
0.133,0.00701908
0.134,0.00712176
0.135,0.00722509
0.136,0.00732904
0.137,0.00743362
0.138,0.00753882
0.139,0.00764463
0.14,0.00775106
0.141,0.00785809
0.142,0.00796572
0.143,0.00807395
0.144,0.00818277
0.145,0.00829216
0.146,0.00840214
0.147,0.00851269
0.148,0.00862381
0.149,0.00873548
0.15,0.00884771
0.151,0.00896049
0.152,0.00907381
0.153,0.00918766
0.154,0.00930205
0.155,0.00941695
0.156,0.00953237
0.157,0.00964829
0.158,0.00976472
0.159,0.00988164
0.16,0.00999904
0.161,0.0101169
0.162,0.0102353
0.163,0.0103541
0.164,0.0104734
0.165,0.0105931
0.166,0.0107132
0.167,0.0108338
0.168,0.0109548
0.169,0.0110762
0.17,0.0111981
0.171,0.0113203
0.172,0.0114429
0.173,0.0115659
0.174,0.0116892
0.175,0.0118129
0.176,0.011937
0.177,0.0120614
0.178,0.0121861
0.179,0.0123111
0.18,0.0124365
0.181,0.0125621
0.182,0.012688
0.183,0.0128142
0.184,0.0129407
0.185,0.0130674
0.186,0.0131943
0.187,0.0133215
0.188,0.0134489
0.189,0.0135765
0.19,0.0137043
0.191,0.0138323
0.192,0.0139605
0.193,0.0140888
0.194,0.0142172
0.195,0.0143458
0.196,0.0144745
0.197,0.0146033
0.198,0.0147322
0.199,0.0148612
0.2,0.0149902
0.201,0.0151193
0.202,0.0152484
0.203,0.0153776
0.204,0.0155067
0.205,0.0156358
0.206,0.015765
0.207,0.015894
0.208,0.016023
0.209,0.016152
0.21,0.0162808
0.211,0.0164096
0.212,0.0165382
0.213,0.0166667
0.214,0.016795
0.215,0.0169232
0.216,0.0170511
0.217,0.0171789
0.218,0.0173064
0.219,0.0174337
0.22,0.0175608
0.221,0.0176875
0.222,0.017814
0.223,0.0179402
0.224,0.018066
0.225,0.0181914
0.226,0.0183165
0.227,0.0184412
0.228,0.0185655
0.229,0.0186894
0.23,0.0188128
0.231,0.0189357
0.232,0.0190581
0.233,0.0191801
0.234,0.0193015
0.235,0.0194223
0.236,0.0195425
0.237,0.0196622
0.238,0.0197812
0.239,0.0198996
0.24,0.0200173
0.241,0.0201343
0.242,0.0202506
0.243,0.0203662
0.244,0.020481
0.245,0.020595
0.246,0.0207082
0.247,0.0208206
0.248,0.0209321
0.249,0.0210428
0.25,0.0211525
0.251,0.0212613
0.252,0.0213691
0.253,0.021476
0.254,0.0215819
0.255,0.0216867
0.256,0.0217904
0.257,0.0218931
0.258,0.0219947
0.259,0.0220951
0.26,0.0221943
0.261,0.0222924
0.262,0.0223892
0.263,0.0224847
0.264,0.022579
0.265,0.022672
0.266,0.0227637
0.267,0.0228539
0.268,0.0229428
0.269,0.0230303
0.27,0.0231163
0.271,0.0232008
0.272,0.0232838
0.273,0.0233653
0.274,0.0234452
0.275,0.0235235
0.276,0.0236001
0.277,0.0236751
0.278,0.0237484
0.279,0.02382
0.28,0.0238898
0.281,0.0239578
0.282,0.024024
0.283,0.0240883
0.284,0.0241507
0.285,0.0242112
0.286,0.0242698
0.287,0.0243264
0.288,0.0243809
0.289,0.0244334
0.29,0.0244838
0.291,0.0245321
0.292,0.0245782
0.293,0.0246222
0.294,0.0246639
0.295,0.0247033
0.296,0.0247405
0.297,0.0247753
0.298,0.0248078
0.299,0.0248378
0.3,0.0248655
0.301,0.0248906
0.302,0.0249133
0.303,0.0249334
0.304,0.0249509
0.305,0.0249659
0.306,0.0249781
0.307,0.0249877
0.308,0.0249946
0.309,0.0249987
0.31,0.025
0.311,0.0249985
0.312,0.0249941
0.313,0.0249868
0.314,0.0249765
0.315,0.0249633
0.316,0.024947
0.317,0.0249277
0.318,0.0249053
0.319,0.0248798
0.32,0.0248511
0.321,0.0248192
0.322,0.024784
0.323,0.0247456
0.324,0.0247039
0.325,0.0246587
0.326,0.0246102
0.327,0.0245583
0.328,0.0245029
0.329,0.024444
0.33,0.0243815
0.331,0.0243154
0.332,0.0242458
0.333,0.0241724
0.334,0.0240954
0.335,0.0240146
0.336,0.0239301
0.337,0.0238417
0.338,0.0237495
0.339,0.0236534
0.34,0.0235534
0.341,0.0234495
0.342,0.0233415
0.343,0.0232295
0.344,0.0231134
0.345,0.0229933
0.346,0.022869
0.347,0.0227405
0.348,0.0226078
0.349,0.0224709
0.35,0.0223296
0.351,0.0221841
0.352,0.0220342
0.353,0.0218799
0.354,0.0217212
0.355,0.0215581
0.356,0.0213904
0.357,0.0212182
0.358,0.0210415
0.359,0.0208602
0.36,0.0206743
0.361,0.0204838
0.362,0.0202885
0.363,0.0200886
0.364,0.0198839
0.365,0.0196745
0.366,0.0194603
0.367,0.0192412
0.368,0.0190173
0.369,0.0187885
0.37,0.0185548
0.371,0.0183162
0.372,0.0180727
0.373,0.0178242
0.374,0.0175707
0.375,0.0173121
0.376,0.0170485
0.377,0.0167799
0.378,0.0165062
0.379,0.0162274
0.38,0.0159435
0.381,0.0156544
0.382,0.0153602
0.383,0.0150609
0.384,0.0147563
0.385,0.0144466
0.386,0.0141317
0.387,0.0138116
0.388,0.0134863
0.389,0.0131557
0.39,0.0128199
0.391,0.0124789
0.392,0.0121327
0.393,0.0117812
0.394,0.0114245
0.395,0.0110626
0.396,0.0106954
0.397,0.010323
0.398,0.00994539
0.399,0.00956255
0.4,0.00917452
0.401,0.0087813
0.402,0.00838289
0.403,0.00797933
0.404,0.00757061
0.405,0.00715677
0.406,0.00673782
0.407,0.00631379
0.408,0.0058847
0.409,0.00545057
0.41,0.00501143
0.411,0.00456732
0.412,0.00411827
0.413,0.00366431
0.414,0.00320548
0.415,0.00274182
0.416,0.00227337
0.417,0.00180017
0.418,0.00132228
0.419,0.000839729
0.42,0.000352582
0.421,-0.000139113
0.422,-0.000635299
0.423,-0.00113592
0.424,-0.00164091
0.425,-0.00215022
0.426,-0.00266377
0.427,-0.0031815
0.428,-0.00370334
0.429,-0.00422922
0.43,-0.00475905
0.431,-0.00529278
0.432,-0.0058303
0.433,-0.00637156
0.434,-0.00691645
0.435,-0.00746489
0.436,-0.0080168
0.437,-0.00857208
0.438,-0.00913064
0.439,-0.00969239
0.44,-0.0102572
0.441,-0.010825
0.442,-0.0113957
0.443,-0.0119692
0.444,-0.0125454
0.445,-0.0131241
0.446,-0.0137053
0.447,-0.0142888
0.448,-0.0148746
0.449,-0.0154624
0.45,-0.0160523
0.451,-0.0166441
0.452,-0.0172376
0.453,-0.0178328
0.454,-0.0184294
0.455,-0.0190275
0.456,-0.0196269
0.457,-0.0202274
0.458,-0.0208289
0.459,-0.0214313
0.46,-0.0220345
0.461,-0.0226383
0.462,-0.0232426
0.463,-0.0238473
0.464,-0.0244522
0.465,-0.0250573
0.466,-0.0256623
0.467,-0.0262672
0.468,-0.0268718
0.469,-0.0274761
0.47,-0.0280798
0.471,-0.0286828
0.472,-0.0292851
0.473,-0.0298864
0.474,-0.0304867
0.475,-0.0310858
0.476,-0.0316836
0.477,-0.03228
0.478,-0.0328749
0.479,-0.0334681
0.48,-0.0340595
0.481,-0.034649
0.482,-0.0352365
0.483,-0.0358218
0.484,-0.0364049
0.485,-0.0369856
0.486,-0.0375639
0.487,-0.0381395
0.488,-0.0387125
0.489,-0.0392827
0.49,-0.0398499
0.491,-0.0404142
0.492,-0.0409753
0.493,-0.0415333
0.494,-0.0420879
0.495,-0.0426392
0.496,-0.043187
0.497,-0.0437312
0.498,-0.0442717
0.499,-0.0448086
0.5,-0.0453415
0.501,-0.0458706
0.502,-0.0463958
0.503,-0.0469168
0.504,-0.0474338
0.505,-0.0479465
0.506,-0.048455
0.507,-0.0489592
0.508,-0.049459
0.509,-0.0499543
0.51,-0.0504451
0.511,-0.0509314
0.512,-0.0514131
0.513,-0.0518901
0.514,-0.0523624
0.515,-0.05283
0.516,-0.0532927
0.517,-0.0537506
0.518,-0.0542037
0.519,-0.0546518
0.52,-0.0550949
0.521,-0.0555331
0.522,-0.0559663
0.523,-0.0563944
0.524,-0.0568175
0.525,-0.0572355
0.526,-0.0576484
0.527,-0.0580561
0.528,-0.0584587
0.529,-0.0588561
0.53,-0.0592484
0.531,-0.0596354
0.532,-0.0600173
0.533,-0.0603939
0.534,-0.0607653
0.535,-0.0611315
0.536,-0.0614924
0.537,-0.0618482
0.538,-0.0621986
