time,x,y,theta,q1,q2,q3,q4
0.002,1.93431e-23,0.649961,-5.32907e-21,-1.0472,1.5708,3.08382e-20,1.5708
0.004,1.14874e-22,0.649882,-3.55271e-21,-1.0472,1.5708,7.18412e-20,1.5708
0.006,2.29748e-22,0.649765,-7.10543e-21,-1.0472,1.5708,1.43682e-19,1.5708
0.008,3.63966e-22,0.649608,-1.59872e-20,-1.0472,1.5708,2.46362e-19,1.5708
0.01,5.20886e-22,0.649411,-1.06581e-20,-1.0472,1.5708,3.47832e-19,1.5708
0.012,6.97149e-22,0.649176,-3.55271e-21,-1.0472,1.5708,4.68494e-19,1.5708
0.014,8.96115e-22,0.648901,1.77636e-20,-1.0472,1.5708,5.87946e-19,1.5708
0.016,1.11442e-21,0.648587,4.08562e-20,-1.0472,1.5708,7.2659e-19,1.5708
0.018,1.35544e-21,0.648234,7.81597e-20,-1.0472,1.5708,8.64025e-19,1.5708
0.02,1.61915e-21,0.647842,1.29674e-19,-1.0472,1.5708,1.00025e-18,1.5708
0.022,1.90221e-21,0.64741,1.82965e-19,-1.0472,1.5708,1.15567e-18,1.5708
0.024,2.20461e-21,0.646939,2.38032e-19,-1.0472,1.5708,1.33028e-18,1.5708
0.026,2.52972e-21,0.646429,3.0731e-19,-1.0472,1.5708,1.50367e-18,1.5708
0.028,2.87752e-21,0.64588,3.90799e-19,-1.0472,1.5708,1.67586e-18,1.5708
0.03,3.24467e-21,0.645291,4.76064e-19,-1.0472,1.5708,1.86725e-18,1.5708
0.032,3.63117e-21,0.644663,5.63105e-19,-1.0472,1.5708,2.07782e-18,1.5708
0.034,4.04036e-21,0.643996,6.64357e-19,-1.0472,1.5708,2.28718e-18,1.5708
0.036,4.4689e-21,0.64329,7.67386e-19,-1.0472,1.5708,2.51574e-18,1.5708
0.038,4.91678e-21,0.642544,8.72191e-19,-1.0472,1.5708,2.76348e-18,1.5708
0.04,5.44085e-21,0.64176,9.84102e-19,-1.0472,1.5708,3.02139e-18,1.5708
0.042,5.98427e-21,0.640936,1.09068e-18,-1.0472,1.5708,3.31014e-18,1.5708
0.044,6.60387e-21,0.640072,1.20437e-18,-1.0472,1.5708,3.60905e-18,1.5708
0.046,7.08236e-21,0.63917,1.31273e-18,-1.0472,1.5708,3.93963e-18,1.5708
0.048,7.41973e-21,0.638228,1.41576e-18,-1.0472,1.5708,4.30186e-18,1.5708
0.05,7.56587e-21,0.637247,1.51523e-18,-1.0472,1.5708,4.69309e-18,1.5708
0.052,7.5709e-21,0.636227,1.60938e-18,-1.0472,1.5708,5.11598e-18,1.5708
0.054,7.59527e-21,0.635167,1.6982e-18,-1.0472,1.5708,5.56971e-18,1.5708
0.056,7.69583e-21,0.634069,1.79412e-18,-1.0472,1.5708,6.03361e-18,1.5708
0.058,7.81573e-21,0.632931,1.88471e-18,-1.0472,1.5708,6.52834e-18,1.5708
0.06,8.06194e-21,0.631753,1.97709e-18,-1.0472,1.5708,7.02796e-18,1.5708
0.062,8.49131e-21,0.630537,2.08367e-18,-1.0472,1.5708,7.51178e-18,1.5708
0.064,9.047e-21,0.629281,2.19202e-18,-1.0472,1.5708,8.00048e-18,1.5708
0.066,9.78584e-21,0.627986,2.31459e-18,-1.0472,1.5708,8.47339e-18,1.5708
0.068,1.0651e-20,0.626652,2.43894e-18,-1.0472,1.5708,8.95119e-18,1.5708
0.07,1.16993e-20,0.625279,2.57749e-18,-1.0472,1.5708,9.41319e-18,1.5708
0.072,1.29308e-20,0.623866,2.73026e-18,-1.0472,1.5708,9.85939e-18,1.5708
0.074,1.42886e-20,0.622414,2.8848e-18,-1.0472,1.5708,1.03105e-17,1.5708
0.076,1.57727e-20,0.620923,3.04112e-18,-1.0472,1.5708,1.07664e-17,1.5708
0.078,1.75436e-20,0.619393,3.19922e-18,-1.0472,1.5708,1.12127e-17,1.5708
0.08,1.96045e-20,0.617823,3.37153e-18,-1.0472,1.5708,1.16289e-17,1.5708
0.082,2.19523e-20,0.616214,3.54561e-18,-1.0472,1.5708,1.20353e-17,1.5708
0.084,2.44264e-20,0.614566,3.72147e-18,-1.0472,1.5708,1.24467e-17,1.5708
0.086,2.68663e-20,0.612879,3.8991e-18,-1.0472,1.5708,1.28637e-17,1.5708
0.088,2.92721e-20,0.611152,4.07852e-18,-1.0472,1.5708,1.32865e-17,1.5708
0.09,3.19146e-20,0.609387,4.27924e-18,-1.0472,1.5708,1.36677e-17,1.5708
0.092,3.48438e-20,0.607582,4.48175e-18,-1.0472,1.5708,1.40393e-17,1.5708
0.094,3.80598e-20,0.605737,4.68603e-18,-1.0472,1.5708,1.44012e-17,1.5708
0.096,4.15625e-20,0.603854,4.89209e-18,-1.0472,1.5708,1.47533e-17,1.5708
