t,x,theta,u
0.001,0,0.523599,-20.2847
0.002,-9.25484e-06,0.52358,-20.1426
0.003,-3.69518e-05,0.523525,-20.001
0.004,-8.29561e-05,0.523433,-19.8597
0.005,-0.000147134,0.523305,-19.7188
0.006,-0.000229351,0.523141,-19.5784
0.007,-0.000329474,0.522942,-19.4383
0.008,-0.000447372,0.522708,-19.2986
0.009,-0.000582912,0.522439,-19.1592
0.01,-0.000735963,0.522136,-19.0203
0.011,-0.000906394,0.521799,-18.8817
0.012,-0.00109407,0.521428,-18.7434
0.013,-0.00129888,0.521025,-18.6056
0.014,-0.00152067,0.520588,-18.468
0.015,-0.00175932,0.520119,-18.3308
0.016,-0.00201471,0.519618,-18.194
0.017,-0.0022867,0.519085,-18.0575
0.018,-0.00257517,0.51852,-17.9213
0.019,-0.00288,0.517925,-17.7855
0.02,-0.00320105,0.517298,-17.65
0.021,-0.00353819,0.516641,-17.5148
0.022,-0.00389132,0.515954,-17.3799
0.023,-0.00426028,0.515238,-17.2454
0.024,-0.00464498,0.514491,-17.1112
0.025,-0.00504527,0.513716,-16.9773
0.026,-0.00546104,0.512911,-16.8437
0.027,-0.00589216,0.512078,-16.7105
0.028,-0.00633851,0.511217,-16.5775
0.029,-0.00679997,0.510328,-16.4449
0.03,-0.00727641,0.509411,-16.3126
0.031,-0.00776771,0.508467,-16.1806
0.032,-0.00827375,0.507496,-16.0489
0.033,-0.00879441,0.506499,-15.9175
0.034,-0.00932957,0.505475,-15.7865
0.035,-0.0098791,0.504425,-15.6557
0.036,-0.0104429,0.503349,-15.5253
0.037,-0.0110208,0.502247,-15.3952
0.038,-0.0116128,0.50112,-15.2654
0.039,-0.0122186,0.499969,-15.1359
0.04,-0.0128383,0.498792,-15.0067
0.041,-0.0134716,0.497592,-14.8779
0.042,-0.0141184,0.496367,-14.7493
0.043,-0.0147787,0.495119,-14.6211
0.044,-0.0154522,0.493847,-14.4932
0.045,-0.016139,0.492552,-14.3657
0.046,-0.0168388,0.491233,-14.2384
0.047,-0.0175516,0.489893,-14.1115
0.048,-0.0182773,0.48853,-13.985
0.049,-0.0190157,0.487144,-13.8587
0.05,-0.0197666,0.485737,-13.7328
0.051,-0.0205301,0.484308,-13.6073
0.052,-0.021306,0.482858,-13.482
0.053,-0.0220941,0.481387,-13.3571
0.054,-0.0228944,0.479896,-13.2326
0.055,-0.0237067,0.478383,-13.1084
0.056,-0.024531,0.476851,-12.9846
0.057,-0.0253671,0.475298,-12.8611
0.058,-0.0262148,0.473726,-12.7379
0.059,-0.0270742,0.472134,-12.6151
0.06,-0.027945,0.470523,-12.4927
0.061,-0.0288272,0.468893,-12.3707
0.062,-0.0297207,0.467245,-12.249
0.063,-0.0306253,0.465578,-12.1277
0.064,-0.0315409,0.463893,-12.0068
0.065,-0.0324675,0.46219,-11.8862
0.066,-0.0334048,0.460469,-11.766
0.067,-0.0343529,0.458731,-11.6462
0.068,-0.0353115,0.456975,-11.5268
0.069,-0.0362807,0.455203,-11.4078
0.07,-0.0372602,0.453414,-11.2892
0.071,-0.03825,0.451609,-11.171
0.072,-0.0392499,0.449787,-11.0532
0.073,-0.0402599,0.447949,-10.9358
0.074,-0.0412799,0.446096,-10.8188
0.075,-0.0423096,0.444227,-10.7022
0.076,-0.0433492,0.442343,-10.5861
0.077,-0.0443983,0.440444,-10.4703
0.078,-0.0454569,0.438531,-10.355
0.079,-0.046525,0.436602,-10.2401
0.08,-0.0476024,0.43466,-10.1257
0.081,-0.0486889,0.432703,-10.0116
0.082,-0.0497846,0.430733,-9.89805
0.083,-0.0508893,0.428749,-9.7849
0.084,-0.0520028,0.426751,-9.67221
0.085,-0.0531252,0.424741,-9.55996
0.086,-0.0542562,0.422717,-9.44817
0.087,-0.0553958,0.420681,-9.33683
0.088,-0.0565439,0.418633,-9.22596
0.089,-0.0577004,0.416572,-9.11554
0.09,-0.0588651,0.414499,-9.0056
0.091,-0.0600381,0.412414,-8.89612
0.092,-0.0612191,0.410318,-8.78712
0.093,-0.0624081,0.408211,-8.6786
0.094,-0.0636049,0.406092,-8.57056
0.095,-0.0648095,0.403963,-8.463
0.096,-0.0660219,0.401823,-8.35593
0.097,-0.0672417,0.399672,-8.24935
0.098,-0.0684691,0.397511,-8.14326
0.099,-0.0697039,0.39534,-8.03767
0.1,-0.0709459,0.39316,-7.93258
0.101,-0.0721951,0.390969,-7.828
0.102,-0.0734515,0.38877,-7.72392
0.103,-0.0747148,0.386561,-7.62035
0.104,-0.075985,0.384343,-7.51729
0.105,-0.077262,0.382116,-7.41474
0.106,-0.0785458,0.379881,-7.31272
0.107,-0.0798361,0.377637,-7.21121
0.108,-0.081133,0.375386,-7.11023
0.109,-0.0824363,0.373126,-7.00977
