t,x,theta,u
0.001,-4.35817e-06,0.523594,-10.0017
0.002,-1.74327e-05,0.523581,-10.0017
0.003,-3.92236e-05,0.523559,-10.0017
0.004,-6.97309e-05,0.523528,-10.0017
0.005,-0.000108955,0.523489,-10.0017
0.006,-0.000156895,0.52344,-10.0017
0.007,-0.000213553,0.523383,-10.0017
0.008,-0.000278927,0.523317,-10.0017
0.009,-0.000353018,0.523242,-10.0017
0.01,-0.000435827,0.523158,-10.0017
0.011,-0.000527353,0.523065,-10.0017
0.012,-0.000627598,0.522964,-10.0017
0.013,-0.00073656,0.522854,-10.0017
0.014,-0.000854241,0.522734,-10.0017
0.015,-0.000980641,0.522606,-10.0017
0.016,-0.00111576,0.52247,-10.0017
0.017,-0.0012596,0.522324,-10.0017
0.018,-0.00141216,0.522169,-10.0017
0.019,-0.00157344,0.522006,-10.0017
0.02,-0.00174344,0.521833,-10.0017
0.021,-0.00192216,0.521652,-10.0017
0.022,-0.0021096,0.521462,-10.0017
0.023,-0.00230577,0.521263,-10.0017
0.024,-0.00251065,0.521055,-10.0017
0.025,-0.00272427,0.520838,-10.0017
0.026,-0.0029466,0.520612,-10.0017
0.027,-0.00317766,0.520377,-10.0017
0.028,-0.00341745,0.520133,-10.0017
0.029,-0.00366597,0.51988,-10.0017
0.03,-0.00392321,0.519618,-10.0017
0.031,-0.00418917,0.519347,-10.0017
0.032,-0.00446387,0.519067,-10.0017
0.033,-0.0047473,0.518778,-10.0017
0.034,-0.00503945,0.51848,-10.0017
0.035,-0.00534034,0.518173,-10.0017
0.036,-0.00564996,0.517857,-10.0017
0.037,-0.00596831,0.517532,-10.0017
0.038,-0.0062954,0.517197,-10.0017
0.039,-0.00663122,0.516854,-10.0017
0.04,-0.00697578,0.516501,-10.0017
0.041,-0.00732907,0.516139,-10.0017
0.042,-0.0076911,0.515768,-10.0017
0.043,-0.00806188,0.515388,-10.0017
0.044,-0.00844139,0.514998,-10.0017
0.045,-0.00882964,0.514599,-10.0017
0.046,-0.00922663,0.514191,-10.0017
0.047,-0.00963237,0.513774,-10.0017
0.048,-0.0100469,0.513347,-10.0017
0.049,-0.0104701,0.512911,-10.0017
0.05,-0.0109021,0.512466,-10.0017
0.051,-0.0113428,0.512011,-9.99821
0.052,-0.0117923,0.511547,-9.99821
0.053,-0.0122505,0.511074,-9.99821
0.054,-0.0127174,0.510591,-9.99821
0.055,-0.0131932,0.510098,-9.99821
0.056,-0.0136776,0.509596,-9.99821
0.057,-0.0141708,0.509085,-9.99821
0.058,-0.0146728,0.508564,-9.99821
0.059,-0.0151836,0.508033,-9.99821
0.06,-0.015703,0.507493,-9.99821
0.061,-0.0162313,0.506943,-9.99821
0.062,-0.0167683,0.506384,-9.99821
0.063,-0.0173141,0.505814,-9.99821
0.064,-0.0178686,0.505235,-9.99821
0.065,-0.0184319,0.504647,-9.99821
0.066,-0.019004,0.504048,-9.99821
0.067,-0.0195849,0.50344,-9.99821
0.068,-0.0201745,0.502822,-9.99821
0.069,-0.0207729,0.502194,-9.99821
0.07,-0.02138,0.501557,-9.99821
0.071,-0.021996,0.500909,-9.99821
0.072,-0.0226207,0.500251,-9.99821
0.073,-0.0232542,0.499583,-9.99821
0.074,-0.0238965,0.498906,-9.99821
0.075,-0.0245476,0.498218,-9.99821
0.076,-0.0252074,0.49752,-9.99821
0.077,-0.0258761,0.496812,-9.99821
0.078,-0.0265535,0.496094,-9.99821
0.079,-0.0272397,0.495365,-9.99821
0.08,-0.0279348,0.494627,-9.99821
0.081,-0.0286386,0.493878,-9.99821
0.082,-0.0293512,0.493118,-9.99821
0.083,-0.0300727,0.492349,-9.99821
0.084,-0.0308029,0.491569,-9.99821
0.085,-0.0315419,0.490778,-9.99821
0.086,-0.0322898,0.489977,-9.99821
0.087,-0.0330464,0.489166,-9.99821
0.088,-0.0338119,0.488343,-9.99821
0.089,-0.0345862,0.487511,-9.99821
0.09,-0.0353693,0.486667,-9.99821
0.091,-0.0361612,0.485813,-9.99821
0.092,-0.036962,0.484949,-9.99821
0.093,-0.0377716,0.484073,-9.99821
0.094,-0.03859,0.483187,-9.99821
0.095,-0.0394172,0.482289,-9.99821
0.096,-0.0402533,0.481381,-9.99821
0.097,-0.0410982,0.480462,-9.99821
0.098,-0.041952,0.479532,-9.99821
0.099,-0.0428146,0.47859,-9.99821
0.1,-0.043686,0.477638,-9.99821
0.101,-0.0445663,0.476674,-10.0013
0.102,-0.0454555,0.4757,-10.0013
0.103,-0.0463535,0.474714,-10.0013
0.104,-0.0472603,0.473716,-10.0013
0.105,-0.0481761,0.472708,-10.0013
0.106,-0.0491007,0.471687,-10.0013
0.107,-0.0500341,0.470656,-10.0013
0.108,-0.0509765,0.469613,-10.0013
0.109,-0.0519277,0.468558,-10.0013
0.11,-0.0528878,0.467491,-10.0013
0.111,-0.0538568,0.466413,-10.0013
0.112,-0.0548346,0.465323,-10.0013
0.113,-0.0558214,0.464222,-10.0013
0.114,-0.056817,0.463108,-10.0013
0.115,-0.0578215,0.461983,-10.0013
0.116,-0.058835,0.460845,-10.0013
0.117,-0.0598573,0.459696,-10.0013
0.118,-0.0608886,0.458534,-10.0013
0.119,-0.0619287,0.457361,-10.0013
0.12,-0.0629778,0.456175,-10.0013
0.121,-0.0640358,0.454977,-10.0013
0.122,-0.0651027,0.453766,-10.0013
0.123,-0.0661785,0.452543,-10.0013
0.124,-0.0672633,0.451308,-10.0013
0.125,-0.068357,0.45006,-10.0013
0.126,-0.0694596,0.448799,-10.0013
0.127,-0.0705712,0.447526,-10.0013
0.128,-0.0716917,0.44624,-10.0013
0.129,-0.0728211,0.444941,-10.0013
0.13,-0.0739595,0.44363,-10.0013
0.131,-0.0751069,0.442305,-10.0013
0.132,-0.0762632,0.440968,-10.0013
0.133,-0.0774285,0.439617,-10.0013
0.134,-0.0786028,0.438254,-10.0013
0.135,-0.079786,0.436877,-10.0013
0.136,-0.0809782,0.435486,-10.0013
0.137,-0.0821794,0.434083,-10.0013
0.138,-0.0833896,0.432666,-10.0013
0.139,-0.0846087,0.431236,-10.0013
0.14,-0.0858369,0.429792,-10.0013
0.141,-0.087074,0.428334,-10.0013
0.142,-0.0883202,0.426863,-10.0013
0.143,-0.0895753,0.425377,-10.0013
0.144,-0.0908395,0.423878,-10.0013
0.145,-0.0921127,0.422365,-10.0013
0.146,-0.0933949,0.420838,-10.0013
0.147,-0.0946861,0.419297,-10.0013
0.148,-0.0959864,0.417742,-10.0013
0.149,-0.0972957,0.416173,-10.0013
0.15,-0.0986141,0.414589,-10.0013
0.151,-0.0999415,0.41299,-10.0003
0.152,-0.101278,0.411378,-10.0003
0.153,-0.102623,0.40975,-10.0003
0.154,-0.103978,0.408108,-10.0003
0.155,-0.105342,0.406451,-10.0003
0.156,-0.106714,0.40478,-10.0003
0.157,-0.108096,0.403093,-10.0003
0.158,-0.109487,0.401391,-10.0003
0.159,-0.110887,0.399675,-10.0003
0.16,-0.112296,0.397943,-10.0003
0.161,-0.113714,0.396196,-10.0003
0.162,-0.115141,0.394433,-10.0003
0.163,-0.116577,0.392655,-10.0003
0.164,-0.118023,0.390861,-10.0003
0.165,-0.119477,0.389052,-10.0003
0.166,-0.120941,0.387227,-10.0003
0.167,-0.122414,0.385386,-10.0003
0.168,-0.123896,0.38353,-10.0003
0.169,-0.125387,0.381657,-10.0003
0.17,-0.126887,0.379768,-10.0003
0.171,-0.128397,0.377863,-10.0003
0.172,-0.129915,0.375942,-10.0003
0.173,-0.131443,0.374004,-10.0003
0.174,-0.13298,0.37205,-10.0003
0.175,-0.134526,0.370079,-10.0003
0.176,-0.136081,0.368091,-10.0003
0.177,-0.137646,0.366087,-10.0003
0.178,-0.139219,0.364065,-10.0003
0.179,-0.140802,0.362027,-10.0003
0.18,-0.142394,0.359971,-10.0003
0.181,-0.143995,0.357899,-10.0003
0.182,-0.145606,0.355809,-10.0003
0.183,-0.147226,0.353701,-10.0003
0.184,-0.148854,0.351576,-10.0003
0.185,-0.150493,0.349433,-10.0003
0.186,-0.15214,0.347273,-10.0003
0.187,-0.153797,0.345094,-10.0003
0.188,-0.155463,0.342898,-10.0003
0.189,-0.157138,0.340684,-10.0003
0.19,-0.158822,0.338451,-10.0003
0.191,-0.160516,0.3362,-10.0003
0.192,-0.162219,0.333931,-10.0003
0.193,-0.163932,0.331643,-10.0003
0.194,-0.165653,0.329336,-10.0003
0.195,-0.167384,0.327011,-10.0003
0.196,-0.169124,0.324666,-10.0003
0.197,-0.170874,0.322303,-10.0003
0.198,-0.172633,0.31992,-10.0003
0.199,-0.174401,0.317519,-10.0003
0.2,-0.176179,0.315097,-10.0003
0.201,-0.177966,0.312657,-9.99956
0.202,-0.179762,0.310197,-9.99956
0.203,-0.181568,0.307717,-9.99956
0.204,-0.183383,0.305217,-9.99956
0.205,-0.185207,0.302697,-9.99956
0.206,-0.187041,0.300157,-9.99956
0.207,-0.188884,0.297596,-9.99956
0.208,-0.190737,0.295016,-9.99956
0.209,-0.192599,0.292415,-9.99956
0.21,-0.194471,0.289793,-9.99956
0.211,-0.196352,0.28715,-9.99956
0.212,-0.198242,0.284487,-9.99956
0.213,-0.200142,0.281802,-9.99956
0.214,-0.202051,0.279096,-9.99956
0.215,-0.20397,0.27637,-9.99956
0.216,-0.205898,0.273621,-9.99956
0.217,-0.207835,0.270851,-9.99956
0.218,-0.209782,0.268059,-9.99956
0.219,-0.211739,0.265246,-9.99956
0.22,-0.213705,0.26241,-9.99956
0.221,-0.215681,0.259553,-9.99956
0.222,-0.217666,0.256673,-9.99956
0.223,-0.21966,0.253771,-9.99956
0.224,-0.221665,0.250846,-9.99956
0.225,-0.223678,0.247898,-9.99956
0.226,-0.225702,0.244928,-9.99956
0.227,-0.227734,0.241935,-9.99956
0.228,-0.229777,0.238918,-9.99956
0.229,-0.231829,0.235878,-9.99956
0.23,-0.23389,0.232815,-9.99956
0.231,-0.235961,0.229729,-9.99956
0.232,-0.238042,0.226618,-9.99956
0.233,-0.240132,0.223484,-9.99956
0.234,-0.242232,0.220326,-9.99956
0.235,-0.244342,0.217144,-9.99956
0.236,-0.246461,0.213937,-9.99956
0.237,-0.24859,0.210706,-9.99956
0.238,-0.250728,0.20745,-9.99956
0.239,-0.252876,0.20417,-9.99956
0.24,-0.255034,0.200864,-9.99956
0.241,-0.257202,0.197534,-9.99956
0.242,-0.259379,0.194178,-9.99956
0.243,-0.261566,0.190797,-9.99956
0.244,-0.263762,0.187391,-9.99956
0.245,-0.265968,0.183958,-9.99956
0.246,-0.268184,0.1805,-9.99956
0.247,-0.27041,0.177016,-9.99956
0.248,-0.272645,0.173506,-9.99956
0.249,-0.27489,0.169969,-9.99956
0.25,-0.277145,0.166406,-9.99956
0.251,-0.279404,0.162835,1.31151
0.252,-0.281662,0.159274,1.31151
0.253,-0.283918,0.155723,1.31151
0.254,-0.286172,0.152182,1.31151
0.255,-0.288425,0.148651,1.31151
0.256,-0.290677,0.14513,1.31151
0.257,-0.292927,0.141618,1.31151
