t,x,theta,u
0.001,-4.35941e-06,0.523594,-10.0043
0.002,-1.74337e-05,0.523581,-9.99611
0.003,-3.9219e-05,0.523559,-9.99598
0.004,-6.97153e-05,0.523528,-9.996
0.005,-0.000108923,0.523489,-9.99603
0.006,-0.000156841,0.52344,-9.99606
0.007,-0.000213471,0.523383,-9.99609
0.008,-0.000278813,0.523317,-9.99612
0.009,-0.000352867,0.523242,-9.99615
0.01,-0.000435632,0.523159,-9.99617
0.011,-0.00052711,0.523066,-9.9962
0.012,-0.000627301,0.522965,-9.99623
0.013,-0.000736204,0.522855,-9.99625
0.014,-0.000853821,0.522736,-9.99628
0.015,-0.000980151,0.522608,-9.99631
0.016,-0.0011152,0.522471,-9.99633
0.017,-0.00125895,0.522326,-9.99636
0.018,-0.00141143,0.522171,-9.99638
0.019,-0.00157262,0.522008,-9.99641
0.02,-0.00174252,0.521836,-9.99643
0.021,-0.00192114,0.521655,-9.99645
0.022,-0.00210848,0.521465,-9.99648
0.023,-0.00230454,0.521266,-9.9965
0.024,-0.00250931,0.521059,-9.99652
0.025,-0.0027228,0.520842,-9.99655
0.026,-0.00294502,0.520616,-9.99657
0.027,-0.00317595,0.520382,-9.99659
0.028,-0.0034156,0.520138,-9.99661
0.029,-0.00366398,0.519886,-9.99664
0.03,-0.00392107,0.519624,-9.99666
0.031,-0.00418689,0.519354,-9.99668
0.032,-0.00446143,0.519074,-9.9967
0.033,-0.0047447,0.518786,-9.99672
0.034,-0.00503669,0.518488,-9.99674
0.035,-0.00533741,0.518182,-9.99676
0.036,-0.00564686,0.517866,-9.99678
0.037,-0.00596504,0.517541,-9.9968
0.038,-0.00629194,0.517207,-9.99683
0.039,-0.00662757,0.516864,-9.99685
0.04,-0.00697194,0.516512,-9.99687
0.041,-0.00732504,0.516151,-9.99689
0.042,-0.00768687,0.51578,-9.9969
0.043,-0.00805743,0.515401,-9.99693
0.044,-0.00843673,0.515012,-9.99694
0.045,-0.00882477,0.514614,-9.99696
0.046,-0.00922155,0.514206,-9.99698
0.047,-0.00962706,0.51379,-9.997
0.048,-0.0100413,0.513364,-9.99702
0.049,-0.0104643,0.512928,-9.99704
0.05,-0.010896,0.512484,-9.99706
0.051,-0.0113365,0.512029,-9.99708
0.052,-0.0117858,0.511566,-9.9971
0.053,-0.0122437,0.511093,-9.99712
0.054,-0.0127105,0.510611,-9.99714
0.055,-0.0131859,0.510119,-9.99715
0.056,-0.0136702,0.509618,-9.99717
0.057,-0.0141631,0.509107,-9.99719
0.058,-0.0146649,0.508587,-9.99721
0.059,-0.0151753,0.508057,-9.99723
0.06,-0.0156946,0.507518,-9.99725
0.061,-0.0162226,0.506969,-9.99726
0.062,-0.0167594,0.50641,-9.99728
0.063,-0.0173049,0.505841,-9.9973
0.064,-0.0178592,0.505263,-9.99732
0.065,-0.0184222,0.504675,-9.99734
0.066,-0.018994,0.504078,-9.99736
0.067,-0.0195746,0.50347,-9.99737
0.068,-0.020164,0.502853,-9.99739
0.069,-0.0207621,0.502226,-9.99741
0.07,-0.021369,0.501589,-9.99743
0.071,-0.0219847,0.500942,-9.99744
0.072,-0.0226092,0.500285,-9.99746
0.073,-0.0232424,0.499618,-9.99748
0.074,-0.0238844,0.498941,-9.98035
0.075,-0.0245352,0.498255,-9.85704
